code,description,class
CW1,CNMI-only transitional workers,Temporary workers and their families
CW2,Spouses and children of CW1,Temporary workers and their families
H1B,Temporary workers in specialty occupations,Temporary workers and their families
H1B1,Chile and Singapore Free Trade Agreement aliens,Temporary workers and their families
H1C,Registered nurses participating in the Nursing Relief for Disadvantaged Areas,Temporary workers and their families
H2A,Agricultural workers,Temporary workers and their families
H2B,Nonagricultural workers,Temporary workers and their families
H2R,Returning H2B workers,Temporary workers and their families
H3,Trainees,Temporary workers and their families
H4,"Spouses and children of H1, H2, or H3",Temporary workers and their families
O1,Workers with extraordinary ability or achievement,Temporary workers and their families
O2,Workers accompanying and assisting in performance of O1 workers,Temporary workers and their families
O3,Spouses and children of O1 and O2,Temporary workers and their families
P1,Internationally recognized athletes or entertainers,Temporary workers and their families
P2,Artists or entertainers in reciprocal exchange programs,Temporary workers and their families
P3,Artists or entertainers in culturally unique programs,Temporary workers and their families
P4,"Spouses and children of P1, P2, or P3",Temporary workers and their families
Q1,Workers in international cultural exchange programs,Temporary workers and their families
R1,Workers in religious occupations,Temporary workers and their families
R2,Spouses and children of R1,Temporary workers and their families
TN,North American Free Trade Agreement (NAFTA) professional workers,Temporary workers and their families
TD,Spouses and children of TN,Temporary workers and their families
L1,Intracompany transferees,Temporary workers and their families
L2,Spouses and children of L1,Temporary workers and their families
E1,Treaty traders and their spouses and children,Temporary workers and their families
E2,Treaty investors and their spouses and children,Temporary workers and their families
E2C,Treaty investors and their spouses and children (CNMI only),Temporary workers and their families
E3,"Australian Free Trade Agreement principals, spouses and children",Temporary workers and their families
E3D,Spouse or Child of E3,Temporary workers and their families
E3R,Returning E3,Temporary workers and their families
I1,Representatives of foreign information media and spouses and children,Temporary workers and their families
F1,Academic students,Students and Exchange visitors and their dependents
F2,Spouses and children of F1,Students and Exchange visitors and their dependents
M1,Vocational students,Students and Exchange visitors and their dependents
M2,Spouses and children of M1,Students and Exchange visitors and their dependents
J1,Exchange visitors,Students and Exchange visitors and their dependents
J2,Spouses and children of J1,Students and Exchange visitors and their dependents
A1,"Ambassadors, public ministers, career diplomatic or consular officers and their families",Diplomats and other representatives
A2,Other foreign government officials or employees and their families,Diplomats and other representatives
A3,"Attendants, servants, or personal employees of A1 and A2 and their families",Diplomats and other representatives
G1,Principals of recognized foreign governments,Diplomats and other representatives
G2,Other representatives of recognized foreign governments,Diplomats and other representatives
G3,Representatives of nonrecognized or nonmember foreign governments,Diplomats and other representatives
G4,International organization officers or employees,Diplomats and other representatives
G5,"Attendants, servants, or personal employees of representatives",Diplomats and other representatives
NATO 1,"Principal Permanent Representative of Member State to NATO (including any of its Subsidiary Bodies) Resident in the U.S. and Resident Members of Official Staff; Secretary General, Assistant Secretaries General, and Executive Secretary of NATO; Other Permanent NATO Officials of Similar Rank, or Immediate Family",Diplomats and other representatives
NATO 2,"Other Representative of member state to NATO (including any of its Subsidiary Bodies) including Representatives, Advisers, and Technical Experts of Delegations, or Immediate Family; Dependents of Member of a Force Entering in Accordance with the Provisions of the NATO Status-of-Forces Agreement or in Accordance with the provisions of the “Protocol on the Status of International Military Headquarters”; Members of Such a Force if Issued Visas",Diplomats and other representatives
NATO 3,"Official Clerical Staff Accompanying Representative of Member State to NATO (including any of its Subsidiary Bodies), or Immediate Family",Diplomats and other representatives
NATO 4,"Official of NATO (Other Than Those Classifiable as NATO1), or Immediate Family",Diplomats and other representatives
NATO 5,"Experts, Other Than NATO Officials Classifiable Under NATO4, Employed in Missions on Behalf of NATO, and their Dependents",Diplomats and other representatives
